molecule_id,class,pic50,MW,LogP,HDonors,HAcceptors
CHEMBL1916053,active,8.886056647693163,422.89000000000016,3.3470000000000013,2,5
CHEMBL1916054,active,9.337242168318426,507.99600000000044,2.6593,2,7
CHEMBL1916057,active,8.698970004336019,374.4180000000001,2.3034999999999997,2,5
CHEMBL1916201,active,9.0,404.44400000000013,2.3121,2,6
CHEMBL1916202,active,8.698970004336019,442.41500000000013,3.322300000000001,2,5
CHEMBL1916203,active,7.638272163982407,375.4060000000001,1.6984999999999995,2,6
CHEMBL1916204,active,7.920818753952375,375.4060000000001,1.6984999999999997,2,6
CHEMBL1916205,active,8.045757490560675,378.4750000000001,2.54812,2,5
CHEMBL1916206,active,7.795880017344075,398.89300000000014,2.8931000000000004,2,5
CHEMBL1916207,active,7.958607314841775,394.4740000000001,2.2483000000000004,2,6
CHEMBL1916210,active,9.657577319177792,522.0230000000003,3.001500000000001,1,7
CHEMBL1916211,active,9.67778070526608,520.0510000000002,4.1552000000000024,1,6
CHEMBL1916212,active,9.69897000433602,535.066,2.9167000000000014,1,7
CHEMBL1916213,active,7.769551078621726,512.0530000000002,2.9377000000000013,1,7
CHEMBL1916214,active,7.958607314841775,491.6350000000003,2.592720000000001,1,7
CHEMBL1916215,active,9.096910013008056,515.6570000000004,2.32552,1,7
CHEMBL1916397,inactive,4.6020599913279625,402.5380000000001,4.987500000000004,1,4
CHEMBL1916398,inactive,4.6020599913279625,416.56900000000024,5.331840000000004,2,3
CHEMBL191986,active,7.698970004336019,689.304,3.865300000000002,2,6
CHEMBL192249,active,8.698970004336019,550.3530000000003,1.2546999999999995,3,7
CHEMBL192370,active,7.585026652029182,531.363,1.8949999999999996,3,7
CHEMBL19269,active,6.191789027075778,496.3830000000001,2.3032200000000005,3,6
CHEMBL19278,active,7.552841968657781,547.6770000000002,4.509000000000004,2,6
CHEMBL19279,active,6.341988603342887,467.34100000000007,3.10212,2,5
CHEMBL192872,active,8.397940008672037,503.3530000000003,1.4125999999999996,3,7
CHEMBL19371,active,6.096910013008056,481.36800000000005,3.4938200000000013,2,5
CHEMBL1939844,active,6.161150909262744,342.37300000000005,0.4684999999999995,1,6
CHEMBL1939845,active,6.180456064458131,388.44500000000005,2.1269,1,5
CHEMBL1939846,active,7.522878745280337,404.4440000000001,2.2522,1,6
CHEMBL194237,active,7.292429823902063,431.49200000000013,-0.771399999999997,2,7
CHEMBL194627,active,6.96657624451305,444.5130000000001,0.8642000000000013,2,7
CHEMBL195743,active,8.221848749616356,454.4830000000002,0.6587,3,8
CHEMBL195948,active,7.055517327849831,395.43700000000007,-0.18449999999999805,2,6
CHEMBL196092,active,6.769551078621726,354.38399999999996,-0.016399999999999193,2,6
CHEMBL19611,active,9.42596873227228,388.4680000000002,1.4989999999999999,5,4
CHEMBL1965818,inactive,4.443697499232713,240.21800000000002,3.4030000000000014,0,4
CHEMBL198100,active,6.679853713888946,437.5180000000002,0.9858000000000009,2,6
CHEMBL1981977,active,7.857923538926715,257.72,3.991900000000002,1,1
CHEMBL1998736,active,7.975514332300833,241.26500000000001,3.4776000000000016,1,1
CHEMBL199917,active,8.568636235841012,541.4230000000001,4.899900000000003,3,4
CHEMBL202932,active,8.096910013008056,399.40500000000003,2.800300000000002,3,4
CHEMBL204153,inactive,4.2441251443275085,313.36,4.482200000000002,2,2
CHEMBL2048502,inactive,4.935167780261426,530.4820000000002,1.1179999999999992,6,12
CHEMBL2048504,inactive,4.903437561625864,320.3410000000001,1.9184999999999997,3,6
CHEMBL2048505,active,6.004364805402449,566.5150000000003,2.9456000000000024,5,12
CHEMBL2048507,inactive,4.6728454875905685,542.4960000000001,3.989200000000002,6,10
CHEMBL2048508,inactive,4.540758335121918,320.253,0.8919000000000001,6,8
CHEMBL2048511,inactive,4.845271792559845,202.24999999999997,1.6848999999999998,1,3
CHEMBL204987,active,8.853871964321762,471.53400000000016,3.6419200000000025,1,4
CHEMBL206045,active,7.602059991327962,471.5340000000002,4.326600000000003,1,5
CHEMBL2063424,active,7.040958607678906,489.39700000000033,0.7587999999999997,2,11
CHEMBL2063425,active,7.322575562298752,414.37400000000014,1.1802999999999997,2,8
CHEMBL2063426,active,7.036212172654444,469.45400000000035,0.8660999999999996,2,9
CHEMBL2063427,active,6.818156412055227,468.46600000000035,2.3506,2,8
CHEMBL2063428,active,6.673664139071249,454.4390000000003,1.9604999999999997,2,8
CHEMBL2063429,active,6.982966660701219,454.4390000000003,1.9604999999999997,2,8
CHEMBL2063430,active,7.585026652029182,399.4030000000002,0.3267999999999997,4,7
CHEMBL2063431,active,6.838631997765026,369.3770000000001,0.9642999999999995,3,6
CHEMBL2063432,active,8.09151498112135,424.4570000000003,0.6500999999999996,3,7
CHEMBL2063433,active,7.920818753952375,423.4690000000003,2.1346,3,6
CHEMBL2063517,active,7.013228265733755,409.44200000000023,1.7444999999999997,3,6
CHEMBL2063518,active,8.207608310501746,409.44200000000023,1.7444999999999997,3,6
CHEMBL2064540,active,8.301029995663981,843.969,2.6723000000000052,2,15
CHEMBL2064541,active,9.221848749616356,711.8100000000004,2.6225000000000023,2,12
CHEMBL2064542,active,9.431798275933003,622.7370000000002,2.4945000000000013,2,10
CHEMBL2064543,active,7.366531544420414,829.8980000000006,0.6026000000000062,5,16
CHEMBL2064544,active,8.522878745280337,888.0219999999999,2.6889000000000074,2,16
CHEMBL2064545,active,8.698970004336019,340.40100000000007,0.8490999999999995,2,5
CHEMBL2064546,active,8.154901959985743,581.6730000000001,1.7215200000000002,2,10
CHEMBL2064547,active,10.522878745280336,429.4740000000001,0.9771,2,7
CHEMBL2064548,active,10.221848749616356,713.8320000000003,1.7713200000000038,2,13
CHEMBL2064549,active,10.30102999566398,561.6330000000003,1.0269000000000026,2,10
CHEMBL2064550,active,9.045757490560677,584.6560000000003,1.367700000000002,2,11
CHEMBL2064551,active,8.397940008672037,654.7180000000003,1.6705000000000017,2,12
CHEMBL2064552,active,9.221848749616356,547.5620000000001,-1.0427999999999988,5,11
CHEMBL206694,active,6.920818753952375,558.6160000000002,2.7980800000000015,1,8
CHEMBL206944,active,8.356547323513812,479.51000000000016,3.275400000000001,1,6
CHEMBL207026,active,8.292429823902063,483.58900000000017,5.441400000000006,1,4
CHEMBL207242,active,7.638272163982407,549.4790000000003,4.290700000000003,1,7
CHEMBL208136,active,6.58838029403677,565.0470000000001,4.546900000000004,1,6
CHEMBL208287,active,7.015472686656207,469.94600000000025,4.280000000000004,1,4
CHEMBL208615,active,7.657577319177793,497.6160000000002,5.660600000000005,1,4
CHEMBL208749,active,7.698970004336019,517.4810000000002,4.285600000000003,1,5
CHEMBL208841,active,6.056011124926228,493.58200000000045,0.30880000000000263,2,8
CHEMBL2088987,active,6.045757490560675,445.3240000000002,2.847200000000001,2,5
CHEMBL2088991,active,6.251811972993799,518.3750000000003,2.0776,3,7
CHEMBL2088993,active,7.0,464.35200000000015,2.1219,3,6
CHEMBL2088994,active,6.443697499232712,474.32200000000023,2.053,3,6
CHEMBL208966,active,7.823908740944319,474.49400000000014,3.1384800000000013,1,6
CHEMBL209165,active,9.017728766960431,495.5780000000002,3.9887000000000024,1,6
CHEMBL209289,active,7.508638306165727,455.53500000000014,4.626420000000003,1,4
CHEMBL209465,active,8.920818753952375,475.9530000000002,4.971400000000004,1,4
CHEMBL2096738,active,6.730487055782083,313.4190000000001,2.6472000000000007,2,4
CHEMBL2096852,active,6.8297382846050425,313.4190000000001,2.6472000000000007,2,4
CHEMBL210133,active,7.721246399047171,520.6290000000004,1.9800000000000006,2,7
CHEMBL210441,active,8.744727494896694,507.49900000000025,3.2822000000000013,2,6
CHEMBL210517,active,9.30102999566398,487.5330000000002,3.3080200000000017,1,5
CHEMBL2107228,active,7.154901959985743,408.49900000000014,1.733700000000001,4,6
CHEMBL211007,active,7.853871964321762,483.9290000000002,3.920200000000003,1,5
CHEMBL211036,active,8.013228265733755,483.58900000000017,5.270500000000005,1,4
CHEMBL211037,active,6.995678626217357,489.5490000000002,4.3522000000000025,1,6
CHEMBL211274,active,6.012333735073725,482.55500000000035,-0.0324999999999982,4,8
CHEMBL211726,active,7.167491087293763,484.5740000000003,2.59882,2,6
CHEMBL212481,active,6.342944147142896,470.54700000000025,2.2904,2,6
CHEMBL212723,inactive,4.366531544420414,231.251,2.49794,2,2
CHEMBL213158,inactive,4.528708288941061,451.9130000000001,2.865000000000001,2,6
CHEMBL2203634,active,7.657577319177793,330.42800000000005,3.3321000000000014,2,3
CHEMBL2203635,active,8.301029995663981,344.4550000000001,3.7222000000000017,2,3
CHEMBL2203637,active,7.2839966563652,384.398,3.874500000000003,2,3
CHEMBL2203638,active,8.522878745280337,360.4540000000001,3.340700000000001,2,4
CHEMBL2203639,active,7.031517051446065,374.4810000000001,3.7308000000000012,2,4
CHEMBL2203640,active,7.221848749616356,388.50800000000004,3.9768000000000017,2,4
