action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,exclusion_reason,ic50_nM,smiles,measurement_class
,,251845,[],CHEMBL687536,Inhibition of human recombinant 92 kDa gelatinase MMP-9 at 100 uM,B,,,BAO_0000190,BAO_0000357,single protein format,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NO)CC(C)C,,,CHEMBL1128777,Bioorg Med Chem Lett,1995.0,"{'bei': '24.97', 'le': '0.47', 'lle': '8.20', 'sei': '7.86'}",,CHEMBL19611,ILOMASTAT,CHEMBL19611,9.70,0,http://www.openphacts.org/units/Nanomolar,70497,=,1,1,=,,IC50,nM,,0.2,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,0.2,,0.2,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NO)CC(C)C,active
,,255920,[],CHEMBL687544,Inhibition of human recombinant Gelatinase B (MMP-9),B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCCCCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)NC)C(C)(C)C,,,CHEMBL1130307,Bioorg Med Chem Lett,1997.0,"{'bei': '22.89', 'le': '0.45', 'lle': '5.90', 'sei': '8.21'}",,CHEMBL59338,,CHEMBL59338,8.82,0,http://www.openphacts.org/units/Nanomolar,103521,=,1,1,=,,IC50,nM,,1.5,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,1.5,,1.5,CCCCCCCCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)NC)C(C)(C)C,active
,,349927,[],CHEMBL715218,Inhibition of Matrix metalloprotease-9 activity,B,,,BAO_0000190,BAO_0000357,single protein format,CNCC#CCOc1ccc(S(=O)(=O)N(C)c2c(C)cc(Br)cc2C(=O)NO)cc1,,,CHEMBL1135289,Bioorg Med Chem Lett,2002.0,"{'bei': '12.47', 'le': '0.28', 'lle': '3.89', 'sei': '5.73'}",,CHEMBL19269,,CHEMBL19269,6.19,0,http://www.openphacts.org/units/Nanomolar,23578,=,1,1,=,,IC50,nM,,643.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,643.0,,643.0,CNCC#CCOc1ccc(S(=O)(=O)N(C)c2c(C)cc(Br)cc2C(=O)NO)cc1,active
,,351371,[],CHEMBL715218,Inhibition of Matrix metalloprotease-9 activity,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(S(=O)(=O)N(C)c2c(C(=O)NO)cc(Br)cc2C2CCN(C)CC2)cc1,,,CHEMBL1135289,Bioorg Med Chem Lett,2002.0,"{'bei': '16.98', 'le': '0.38', 'lle': '5.49', 'sei': '8.77'}",,CHEMBL278872,,CHEMBL278872,8.70,0,http://www.openphacts.org/units/Nanomolar,23590,=,1,1,=,,IC50,nM,,2.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,2.0,,2.0,COc1ccc(S(=O)(=O)N(C)c2c(C(=O)NO)cc(Br)cc2C2CCN(C)CC2)cc1,active
,,351376,[],CHEMBL715218,Inhibition of Matrix metalloprotease-9 activity,B,,,BAO_0000190,BAO_0000357,single protein format,CCCC#CCOc1ccc(S(=O)(=O)N(C)c2c(C)cc(Br)cc2C(=O)NO)cc1,,,CHEMBL1135289,Bioorg Med Chem Lett,2002.0,"{'bei': '13.39', 'le': '0.30', 'lle': '2.75', 'sei': '6.92'}",,CHEMBL18649,,CHEMBL18649,6.63,0,http://www.openphacts.org/units/Nanomolar,23583,=,1,1,=,,IC50,nM,,232.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,232.0,,232.0,CCCC#CCOc1ccc(S(=O)(=O)N(C)c2c(C)cc(Br)cc2C(=O)NO)cc1,active
,,351381,[],CHEMBL715218,Inhibition of Matrix metalloprotease-9 activity,B,,,BAO_0000190,BAO_0000357,single protein format,COCC#CCOc1ccc(S(=O)(=O)N(C)c2c(C)cc(Br)cc2C(=O)NO)cc1,,,CHEMBL1135289,Bioorg Med Chem Lett,2002.0,"{'bei': '12.89', 'le': '0.29', 'lle': '3.68', 'sei': '6.10'}",,CHEMBL18895,,CHEMBL18895,6.41,0,http://www.openphacts.org/units/Nanomolar,23579,=,1,1,=,,IC50,nM,,387.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,387.0,,387.0,COCC#CCOc1ccc(S(=O)(=O)N(C)c2c(C)cc(Br)cc2C(=O)NO)cc1,active
,,352718,[],CHEMBL715218,Inhibition of Matrix metalloprotease-9 activity,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(Br)cc(C(=O)NO)c1N(C)S(=O)(=O)c1ccc(OCC#Cc2ccccc2)cc1,,,CHEMBL1135289,Bioorg Med Chem Lett,2002.0,"{'bei': '11.46', 'le': '0.25', 'lle': '1.94', 'sei': '6.32'}",,CHEMBL418737,,CHEMBL418737,6.07,0,http://www.openphacts.org/units/Nanomolar,23581,=,1,1,=,,IC50,nM,,857.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,857.0,,857.0,Cc1cc(Br)cc(C(=O)NO)c1N(C)S(=O)(=O)c1ccc(OCC#Cc2ccccc2)cc1,active
,,352723,[],CHEMBL715218,Inhibition of Matrix metalloprotease-9 activity,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(Br)cc(C(=O)NO)c1N(C)S(=O)(=O)c1ccc(OCC#CCNCCCN(C)C)cc1,,,CHEMBL1135289,Bioorg Med Chem Lett,2002.0,"{'bei': '10.43', 'le': '0.23', 'lle': '3.29', 'sei': '5.32'}",,CHEMBL276275,,CHEMBL276275,5.92,0,http://www.openphacts.org/units/Nanomolar,23577,=,1,1,=,,IC50,nM,,1205.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,1205.0,,1205.0,Cc1cc(Br)cc(C(=O)NO)c1N(C)S(=O)(=O)c1ccc(OCC#CCNCCCN(C)C)cc1,intermediate
,,354284,[],CHEMBL715218,Inhibition of Matrix metalloprotease-9 activity,B,,,BAO_0000190,BAO_0000357,single protein format,CCC#CCOc1ccc(S(=O)(=O)N(C)c2c(C)cc(Br)cc2C(=O)NO)cc1,,,CHEMBL1135289,Bioorg Med Chem Lett,2002.0,"{'bei': '12.67', 'le': '0.29', 'lle': '2.61', 'sei': '6.35'}",,CHEMBL19371,,CHEMBL19371,6.10,0,http://www.openphacts.org/units/Nanomolar,23587,=,1,1,=,,IC50,nM,,800.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,800.0,,800.0,CCC#CCOc1ccc(S(=O)(=O)N(C)c2c(C)cc(Br)cc2C(=O)NO)cc1,active
,,358604,[],CHEMBL715218,Inhibition of Matrix metalloprotease-9 activity,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(Br)cc(C(=O)NO)c1N(C)S(=O)(=O)c1ccc(OCC#CCO)cc1,,,CHEMBL1135289,Bioorg Med Chem Lett,2002.0,"{'bei': '13.08', 'le': '0.30', 'lle': '4.24', 'sei': '5.44'}",,CHEMBL18943,,CHEMBL18943,6.32,0,http://www.openphacts.org/units/Nanomolar,23580,=,1,1,=,,IC50,nM,,477.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,477.0,,477.0,Cc1cc(Br)cc(C(=O)NO)c1N(C)S(=O)(=O)c1ccc(OCC#CCO)cc1,active
