seed,representation,model,candidate,validation_f1,n_train,n_test,n_features,accuracy,f1,sensitivity,specificity,precision,tn,fp,fn,tp
57,PaDEL,LogisticRegression,1,0.9379310344827586,730,183,1182,0.9234972677595629,0.950354609929078,0.9305555555555556,0.8974358974358975,0.9710144927536232,35,4,10,134
58,PaDEL,LogisticRegression,0,0.9440559440559441,730,183,1182,0.9398907103825137,0.9616724738675958,0.9583333333333334,0.8717948717948718,0.965034965034965,34,5,6,138
59,PaDEL,LogisticRegression,1,0.9342560553633218,730,183,1180,0.9398907103825137,0.9611307420494699,0.9444444444444444,0.9230769230769231,0.9784172661870504,36,3,8,136
60,PaDEL,LogisticRegression,1,0.9513888888888888,730,183,1182,0.9617486338797814,0.9757785467128027,0.9791666666666666,0.8974358974358975,0.9724137931034482,35,4,3,141
61,PaDEL,LogisticRegression,1,0.9491525423728814,730,183,1180,0.9398907103825137,0.9605734767025089,0.9305555555555556,0.9743589743589743,0.9925925925925926,38,1,10,134
62,PaDEL,LogisticRegression,0,0.9568345323741008,730,183,1177,0.9344262295081968,0.9583333333333334,0.9583333333333334,0.8461538461538461,0.9583333333333334,33,6,6,138
63,PaDEL,LogisticRegression,0,0.9300699300699301,730,183,1177,0.9344262295081968,0.958041958041958,0.9513888888888888,0.8717948717948718,0.9647887323943662,34,5,7,137
64,PaDEL,LogisticRegression,1,0.9616724738675958,730,183,1179,0.9344262295081968,0.9574468085106383,0.9375,0.9230769230769231,0.9782608695652174,36,3,9,135
65,PaDEL,LogisticRegression,0,0.9290780141843972,730,183,1179,0.8907103825136612,0.927007299270073,0.8819444444444444,0.9230769230769231,0.9769230769230769,36,3,17,127
66,PaDEL,LogisticRegression,1,0.9655172413793104,730,183,1182,0.9344262295081968,0.958041958041958,0.9513888888888888,0.8717948717948718,0.9647887323943662,34,5,7,137
67,PaDEL,LogisticRegression,1,0.9444444444444444,730,183,1182,0.9234972677595629,0.9517241379310345,0.9583333333333334,0.7948717948717948,0.9452054794520548,31,8,6,138
68,PaDEL,LogisticRegression,0,0.9342560553633218,730,183,1179,0.9016393442622951,0.9361702127659575,0.9166666666666666,0.8461538461538461,0.9565217391304348,33,6,12,132
69,PaDEL,LogisticRegression,1,0.9547038327526133,730,183,1180,0.8961748633879781,0.9323843416370107,0.9097222222222222,0.8461538461538461,0.9562043795620438,33,6,13,131
70,PaDEL,LogisticRegression,1,0.951048951048951,730,183,1182,0.8907103825136612,0.927007299270073,0.8819444444444444,0.9230769230769231,0.9769230769230769,36,3,17,127
71,PaDEL,LogisticRegression,0,0.9619377162629758,730,183,1182,0.907103825136612,0.9407665505226481,0.9375,0.7948717948717948,0.9440559440559441,31,8,9,135
72,PaDEL,LogisticRegression,1,0.950354609929078,730,183,1179,0.9180327868852459,0.9477351916376306,0.9444444444444444,0.8205128205128205,0.951048951048951,32,7,8,136
73,PaDEL,LogisticRegression,1,0.9420289855072463,730,183,1182,0.9180327868852459,0.9469964664310954,0.9305555555555556,0.8717948717948718,0.9640287769784173,34,5,10,134
74,PaDEL,LogisticRegression,0,0.9553264604810997,730,183,1182,0.8907103825136612,0.927536231884058,0.8888888888888888,0.8974358974358975,0.9696969696969697,35,4,16,128
75,PaDEL,LogisticRegression,0,0.9574468085106383,730,183,1182,0.8688524590163934,0.916083916083916,0.9097222222222222,0.717948717948718,0.9225352112676056,28,11,13,131
76,PaDEL,LogisticRegression,1,0.950354609929078,730,183,1182,0.9234972677595629,0.951048951048951,0.9444444444444444,0.8461538461538461,0.9577464788732394,33,6,8,136
77,PaDEL,LogisticRegression,0,0.9681978798586572,730,183,1182,0.8852459016393442,0.9236363636363636,0.8819444444444444,0.8974358974358975,0.9694656488549618,35,4,17,127
78,PaDEL,LogisticRegression,1,0.9655172413793104,730,183,1182,0.907103825136612,0.9403508771929825,0.9305555555555556,0.8205128205128205,0.950354609929078,32,7,10,134
79,PaDEL,LogisticRegression,1,0.965034965034965,730,183,1182,0.9234972677595629,0.9517241379310345,0.9583333333333334,0.7948717948717948,0.9452054794520548,31,8,6,138
80,PaDEL,LogisticRegression,1,0.9547038327526133,730,183,1182,0.907103825136612,0.9403508771929825,0.9305555555555556,0.8205128205128205,0.950354609929078,32,7,10,134
